Year,FFRank,Name,Team,TeamID,Yards,TD,FPTS,opponents,games_vs_top_ten,games_vs_bottom_ten,opponent_avg_madden_rating
2024,1,Derrick Henry,Ravens,26,"1,921",16,319.4,"[10, 24, 13, 4, 3, 12, 7, 6, 5, 3, 29, 9, 15, 17, 29, 30, 6]",4,6,79.88
2024,2,Saquon Barkley,Eagles,15,"2,005",13,318.3,"[21, 16, 27, 7, 6, 17, 3, 18, 13, 12, 25, 26, 22, 29, 12, 13, 17]",3,7,78.47
2024,3,Jahmyr Gibbs,Lions,20,"1,412",16,312.9,"[25, 7, 8, 28, 13, 32, 31, 21, 30, 18, 11, 2, 21, 4, 2, 1, 32]",7,5,77.65
2024,4,Bijan Robinson,Falcons,16,"1,456",14,278.1,"[29, 15, 10, 27, 7, 22, 28, 7, 13, 27, 5, 9, 32, 24, 17, 12, 22]",5,7,78.0
2024,5,Josh Jacobs,Packers,21,"1,329",15,263.1,"[15, 11, 31, 32, 25, 8, 30, 18, 20, 2, 1, 14, 20, 28, 27, 32, 2]",9,3,79.12
2024,6,Kyren Williams,Rams,25,"1,299",14,244.1,"[20, 8, 1, 2, 21, 24, 32, 28, 14, 23, 15, 27, 4, 1, 19, 8, 28]",7,5,80.53
2024,7,James Cook,Bills,4,"1,009",16,234.7,"[8, 14, 18, 26, 30, 19, 31, 28, 14, 11, 10, 1, 25, 20, 23, 19, 23]",6,3,80.94
2024,8,Jonathan Taylor,Colts,11,"1,431",11,228.7,"[30, 21, 2, 29, 18, 31, 14, 30, 32, 4, 19, 20, 23, 5, 31, 17, 18]",7,3,77.88
2024,9,De'Von Achane,Dolphins,14,907,6,221.9,"[18, 4, 28, 31, 23, 11, 8, 4, 25, 24, 23, 21, 19, 30, 1, 6, 19]",4,4,79.94
2024,10,James Conner,Cardinals,8,"1,094",8,204.8,"[4, 25, 20, 12, 1, 21, 9, 14, 2, 19, 28, 32, 28, 23, 22, 25, 1]",6,6,80.47
2024,11,Joe Mixon,Texans,30,"1,016",11,204.5,"[11, 2, 32, 18, 4, 23, 21, 11, 19, 20, 13, 31, 18, 14, 10, 26, 31]",7,3,79.53
2024,12,Chuba Hubbard,Panthers,22,"1,195",10,202.6,"[27, 9, 24, 3, 2, 16, 12, 5, 27, 17, 10, 7, 15, 13, 8, 7, 16]",4,6,78.12
2024,13,Chase Brown,Bengals,3,990,7,201.0,"[23, 10, 12, 22, 26, 17, 6, 15, 24, 26, 9, 29, 13, 31, 6, 5, 29]",7,5,79.65
2024,14,Bucky Irving,Buccaneers,7,"1,121",8,199.3,"[12, 20, 5, 15, 16, 27, 26, 16, 10, 1, 17, 22, 24, 9, 13, 22, 27]",4,6,80.24
2024,15,Alvin Kamara,Saints,27,950,6,197.3,"[22, 13, 15, 16, 10, 7, 5, 9, 22, 16, 6, 25, 17, 12, 21, 24, 7]",3,7,78.18
2024,16,Aaron Jones,Vikings,32,"1,138",5,196.6,"[17, 1, 30, 21, 19, 20, 25, 11, 18, 31, 2, 8, 16, 2, 28, 21, 20]",6,6,77.71
